season,Week,date,home,away,home_score,away_score,HomeWin,AwayWin,_HomeNick,_AwayNick,spread_home,total_close,ml_home,ml_away
1966,1,1966-09-02,Dolphins,Raiders,14.0,23.0,0.0,1.0,Dolphins,Raiders,,,,
1966,1,1966-09-03,Oilers,Broncos,45.0,7.0,1.0,0.0,Oilers,Broncos,,,,
1966,1,1966-09-04,Chargers,Bills,27.0,7.0,1.0,0.0,Chargers,Bills,,,,
1966,1,1966-09-10,Packers,Colts,24.0,3.0,1.0,0.0,Packers,Colts,,,,
1966,1,1966-09-11,Redskins,Browns,14.0,38.0,0.0,1.0,Redskins,Browns,,,,
1966,1,1966-09-11,Falcons,Rams,14.0,19.0,0.0,1.0,Falcons,Rams,,,,
1966,1,1966-09-11,Cardinals,Eagles,16.0,13.0,1.0,0.0,Cardinals,Eagles,,,,
1966,1,1966-09-11,49ers,Vikings,20.0,20.0,0.0,0.0,49ers,Vikings,,,,
1966,1,1966-09-11,Steelers,Giants,34.0,34.0,0.0,0.0,Steelers,Giants,,,,
1966,1,1966-09-11,Lions,Bears,14.0,3.0,1.0,0.0,Lions,Bears,,,,
1966,2,1966-09-09,Dolphins,Jets,14.0,19.0,0.0,1.0,Dolphins,Jets,,,,
1966,2,1966-09-10,Oilers,Raiders,31.0,0.0,1.0,0.0,Oilers,Raiders,,,,
1966,2,1966-09-10,Chargers,Patriots,24.0,0.0,1.0,0.0,Chargers,Patriots,,,,
1966,2,1966-09-11,Bills,Chiefs,20.0,42.0,0.0,1.0,Bills,Chiefs,,,,
1966,2,1966-09-16,Rams,Bears,31.0,17.0,1.0,0.0,Rams,Bears,,,,
1966,2,1966-09-18,Eagles,Falcons,23.0,10.0,1.0,0.0,Eagles,Falcons,,,,
1966,2,1966-09-18,Cardinals,Redskins,23.0,7.0,1.0,0.0,Cardinals,Redskins,,,,
1966,2,1966-09-18,Steelers,Lions,17.0,3.0,1.0,0.0,Steelers,Lions,,,,
1966,2,1966-09-18,Vikings,Colts,23.0,38.0,0.0,1.0,Vikings,Colts,,,,
1966,2,1966-09-18,Browns,Packers,20.0,21.0,0.0,1.0,Browns,Packers,,,,
1966,2,1966-09-18,Cowboys,Giants,52.0,7.0,1.0,0.0,Cowboys,Giants,,,,
1966,3,1966-09-18,Broncos,Patriots,10.0,24.0,0.0,1.0,Broncos,Patriots,,,,
1966,3,1966-09-18,Bills,Dolphins,58.0,24.0,1.0,0.0,Bills,Dolphins,,,,
1966,3,1966-09-18,Raiders,Chiefs,10.0,32.0,0.0,1.0,Raiders,Chiefs,,,,
1966,3,1966-09-18,Jets,Oilers,52.0,13.0,1.0,0.0,Jets,Oilers,,,,
1966,3,1966-09-25,Cowboys,Vikings,28.0,17.0,1.0,0.0,Cowboys,Vikings,,,,
1966,3,1966-09-25,Packers,Rams,24.0,13.0,1.0,0.0,Packers,Rams,,,,
1966,3,1966-09-25,Browns,Cardinals,28.0,34.0,0.0,1.0,Browns,Cardinals,,,,
1966,3,1966-09-25,Eagles,Giants,35.0,17.0,1.0,0.0,Eagles,Giants,,,,
1966,3,1966-09-25,Lions,Falcons,28.0,10.0,1.0,0.0,Lions,Falcons,,,,
1966,3,1966-09-25,Steelers,Redskins,27.0,33.0,0.0,1.0,Steelers,Redskins,,,,
1966,3,1966-09-25,Colts,49ers,36.0,14.0,1.0,0.0,Colts,49ers,,,,
1966,3,1966-09-30,Rams,49ers,34.0,3.0,1.0,0.0,Rams,49ers,,,,
1966,4,1966-09-25,Bills,Oilers,27.0,20.0,1.0,0.0,Bills,Oilers,,,,
1966,4,1966-09-25,Patriots,Chiefs,24.0,43.0,0.0,1.0,Patriots,Chiefs,,,,
1966,4,1966-09-25,Broncos,Jets,7.0,16.0,0.0,1.0,Broncos,Jets,,,,
1966,4,1966-09-25,Raiders,Chargers,20.0,29.0,0.0,1.0,Raiders,Chargers,,,,
1966,4,1966-10-02,Giants,Browns,7.0,28.0,0.0,1.0,Giants,Browns,,,,
1966,4,1966-10-02,Redskins,Steelers,24.0,10.0,1.0,0.0,Redskins,Steelers,,,,
1966,4,1966-10-02,Falcons,Cowboys,14.0,47.0,0.0,1.0,Falcons,Cowboys,,,,
1966,4,1966-10-02,Packers,Lions,23.0,14.0,1.0,0.0,Packers,Lions,,,,
1966,4,1966-10-02,Vikings,Bears,10.0,13.0,0.0,1.0,Vikings,Bears,,,,
1966,4,1966-10-02,Eagles,Cardinals,10.0,41.0,0.0,1.0,Eagles,Cardinals,,,,
1966,5,1966-10-02,Broncos,Oilers,40.0,38.0,1.0,0.0,Broncos,Oilers,,,,
1966,5,1966-10-02,Chargers,Dolphins,44.0,10.0,1.0,0.0,Chargers,Dolphins,,,,
1966,5,1966-10-02,Patriots,Jets,24.0,24.0,0.0,0.0,Patriots,Jets,,,,
1966,5,1966-10-02,Chiefs,Bills,14.0,29.0,0.0,1.0,Chiefs,Bills,,,,
1966,5,1966-10-08,Browns,Steelers,41.0,10.0,1.0,0.0,Browns,Steelers,,,,
1966,5,1966-10-09,Redskins,Falcons,33.0,20.0,1.0,0.0,Redskins,Falcons,,,,
1966,5,1966-10-09,Cowboys,Eagles,56.0,7.0,1.0,0.0,Cowboys,Eagles,,,,
1966,5,1966-10-09,Bears,Colts,27.0,17.0,1.0,0.0,Bears,Colts,,,,
1966,5,1966-10-09,Lions,Rams,7.0,14.0,0.0,1.0,Lions,Rams,,,,
1966,5,1966-10-09,49ers,Packers,21.0,20.0,1.0,0.0,49ers,Packers,,,,
1966,5,1966-10-09,Raiders,Dolphins,21.0,10.0,1.0,0.0,Raiders,Dolphins,,,,
1966,6,1966-10-08,Jets,Chargers,17.0,16.0,1.0,0.0,Jets,Chargers,,,,
1966,6,1966-10-08,Bills,Patriots,10.0,20.0,0.0,1.0,Bills,Patriots,,,,
1966,6,1966-10-08,Chiefs,Broncos,37.0,10.0,1.0,0.0,Chiefs,Broncos,,,,
1966,6,1966-10-09,Cardinals,Giants,24.0,19.0,1.0,0.0,Cardinals,Giants,,,,
1966,6,1966-10-16,Falcons,49ers,7.0,44.0,0.0,1.0,Falcons,49ers,,,,
1966,6,1966-10-16,Vikings,Rams,35.0,7.0,1.0,0.0,Vikings,Rams,,,,
1966,6,1966-10-16,Bears,Packers,0.0,17.0,0.0,1.0,Bears,Packers,,,,
1966,6,1966-10-16,Steelers,Eagles,14.0,31.0,0.0,1.0,Steelers,Eagles,,,,
1966,6,1966-10-16,Colts,Lions,45.0,14.0,1.0,0.0,Colts,Lions,,,,
1966,6,1966-10-16,Cardinals,Cowboys,10.0,10.0,0.0,0.0,Cardinals,Cowboys,,,,
1966,6,1966-10-16,Giants,Redskins,13.0,10.0,1.0,0.0,Giants,Redskins,,,,
1966,7,1966-10-16,Oilers,Jets,24.0,0.0,1.0,0.0,Oilers,Jets,,,,
1966,7,1966-10-16,Dolphins,Broncos,24.0,7.0,1.0,0.0,Dolphins,Broncos,,,,
1966,7,1966-10-16,Bills,Chargers,17.0,17.0,0.0,0.0,Bills,Chargers,,,,
1966,7,1966-10-16,Chiefs,Raiders,13.0,34.0,0.0,1.0,Chiefs,Raiders,,,,
1966,7,1966-10-23,Browns,Cowboys,30.0,21.0,1.0,0.0,Browns,Cowboys,,,,
1966,7,1966-10-23,Packers,Falcons,56.0,3.0,1.0,0.0,Packers,Falcons,,,,
1966,7,1966-10-23,Colts,Vikings,20.0,17.0,1.0,0.0,Colts,Vikings,,,,
1966,7,1966-10-23,Redskins,Cardinals,26.0,20.0,1.0,0.0,Redskins,Cardinals,,,,
1966,7,1966-10-23,49ers,Lions,27.0,24.0,1.0,0.0,49ers,Lions,,,,
1966,7,1966-10-23,Bears,Rams,17.0,10.0,1.0,0.0,Bears,Rams,,,,
1966,7,1966-10-23,Giants,Eagles,3.0,31.0,0.0,1.0,Giants,Eagles,,,,
1966,8,1966-10-23,Broncos,Chiefs,10.0,56.0,0.0,1.0,Broncos,Chiefs,,,,
1966,8,1966-10-23,Oilers,Dolphins,13.0,20.0,0.0,1.0,Oilers,Dolphins,,,,
1966,8,1966-10-23,Jets,Raiders,21.0,24.0,0.0,1.0,Jets,Raiders,,,,
1966,8,1966-10-23,Patriots,Chargers,35.0,17.0,1.0,0.0,Patriots,Chargers,,,,
1966,8,1966-10-30,Falcons,Browns,17.0,49.0,0.0,1.0,Falcons,Browns,,,,
1966,8,1966-10-30,Rams,Colts,3.0,17.0,0.0,1.0,Rams,Colts,,,,
1966,8,1966-10-30,Cowboys,Steelers,52.0,21.0,1.0,0.0,Cowboys,Steelers,,,,
1966,8,1966-10-30,Lions,Packers,7.0,31.0,0.0,1.0,Lions,Packers,,,,
1966,8,1966-10-30,Vikings,49ers,28.0,3.0,1.0,0.0,Vikings,49ers,,,,
1966,8,1966-10-30,Eagles,Redskins,13.0,27.0,0.0,1.0,Eagles,Redskins,,,,
1966,8,1966-10-31,Cardinals,Bears,24.0,17.0,1.0,0.0,Cardinals,Bears,,,,
1966,9,1966-10-30,Patriots,Raiders,24.0,21.0,1.0,0.0,Patriots,Raiders,,,,
1966,9,1966-10-30,Chiefs,Oilers,48.0,23.0,1.0,0.0,Chiefs,Oilers,,,,
1966,9,1966-10-30,Jets,Bills,23.0,33.0,0.0,1.0,Jets,Bills,,,,
1966,9,1966-10-30,Chargers,Broncos,24.0,17.0,1.0,0.0,Chargers,Broncos,,,,
1966,9,1966-11-06,Eagles,Cowboys,24.0,23.0,1.0,0.0,Eagles,Cowboys,,,,
1966,9,1966-11-06,Packers,Vikings,17.0,20.0,0.0,1.0,Packers,Vikings,,,,
1966,9,1966-11-06,Giants,Cardinals,17.0,20.0,0.0,1.0,Giants,Cardinals,,,,
1966,9,1966-11-06,Steelers,Browns,16.0,6.0,1.0,0.0,Steelers,Browns,,,,
1966,9,1966-11-06,Colts,Redskins,37.0,10.0,1.0,0.0,Colts,Redskins,,,,
1966,9,1966-11-06,49ers,Rams,21.0,13.0,1.0,0.0,49ers,Rams,,,,
1966,9,1966-11-06,Bears,Lions,10.0,10.0,0.0,0.0,Bears,Lions,,,,
1966,10,1966-11-06,Dolphins,Bills,0.0,29.0,0.0,1.0,Dolphins,Bills,,,,
1966,10,1966-11-06,Raiders,Oilers,38.0,23.0,1.0,0.0,Raiders,Oilers,,,,
1966,10,1966-11-06,Patriots,Broncos,10.0,17.0,0.0,1.0,Patriots,Broncos,,,,
1966,10,1966-11-06,Chiefs,Chargers,24.0,14.0,1.0,0.0,Chiefs,Chargers,,,,
1966,10,1966-11-13,Bears,49ers,30.0,30.0,0.0,0.0,Bears,49ers,,,,
1966,10,1966-11-13,Vikings,Lions,31.0,32.0,0.0,1.0,Vikings,Lions,,,,
1966,10,1966-11-13,Rams,Giants,55.0,14.0,1.0,0.0,Rams,Giants,,,,
1966,10,1966-11-13,Redskins,Cowboys,30.0,31.0,0.0,1.0,Redskins,Cowboys,,,,
1966,10,1966-11-13,Browns,Eagles,27.0,7.0,1.0,0.0,Browns,Eagles,,,,
1966,10,1966-11-13,Falcons,Colts,7.0,19.0,0.0,1.0,Falcons,Colts,,,,
1966,10,1966-11-13,Steelers,Cardinals,30.0,9.0,1.0,0.0,Steelers,Cardinals,,,,
1966,11,1966-11-13,Chiefs,Dolphins,34.0,16.0,1.0,0.0,Chiefs,Dolphins,,,,
1966,11,1966-11-13,Bills,Jets,14.0,3.0,1.0,0.0,Bills,Jets,,,,
1966,11,1966-11-13,Chargers,Raiders,19.0,41.0,0.0,1.0,Chargers,Raiders,,,,
1966,11,1966-11-13,Patriots,Oilers,27.0,21.0,1.0,0.0,Patriots,Oilers,,,,
1966,11,1966-11-20,Browns,Redskins,14.0,3.0,1.0,0.0,Browns,Redskins,,,,
1966,11,1966-11-20,49ers,Eagles,34.0,35.0,0.0,1.0,49ers,Eagles,,,,
1966,11,1966-11-20,Steelers,Cowboys,7.0,20.0,0.0,1.0,Steelers,Cowboys,,,,
1966,11,1966-11-20,Rams,Vikings,21.0,6.0,1.0,0.0,Rams,Vikings,,,,
1966,11,1966-11-20,Lions,Colts,20.0,14.0,1.0,0.0,Lions,Colts,,,,
1966,11,1966-11-20,Packers,Bears,13.0,6.0,1.0,0.0,Packers,Bears,,,,
1966,11,1966-11-20,Giants,Falcons,16.0,27.0,0.0,1.0,Giants,Falcons,,,,
1966,12,1966-11-20,Chiefs,Patriots,27.0,27.0,0.0,0.0,Chiefs,Patriots,,,,
1966,12,1966-11-20,Broncos,Raiders,3.0,17.0,0.0,1.0,Broncos,Raiders,,,,
1966,12,1966-11-20,Jets,Dolphins,30.0,13.0,1.0,0.0,Jets,Dolphins,,,,
1966,12,1966-11-20,Oilers,Bills,20.0,42.0,0.0,1.0,Oilers,Bills,,,,
1966,12,1966-11-24,Cowboys,Browns,26.0,14.0,1.0,0.0,Cowboys,Browns,,,,
1966,12,1966-11-24,Lions,49ers,14.0,41.0,0.0,1.0,Lions,49ers,,,,
1966,12,1966-11-27,Colts,Rams,7.0,23.0,0.0,1.0,Colts,Rams,,,,
1966,12,1966-11-27,Cardinals,Steelers,6.0,3.0,1.0,0.0,Cardinals,Steelers,,,,
1966,12,1966-11-27,Redskins,Giants,72.0,41.0,1.0,0.0,Redskins,Giants,,,,
1966,12,1966-11-27,Vikings,Packers,16.0,28.0,0.0,1.0,Vikings,Packers,,,,
1966,12,1966-11-27,Bears,Falcons,23.0,6.0,1.0,0.0,Bears,Falcons,,,,
1966,13,1966-11-24,Raiders,Bills,10.0,31.0,0.0,1.0,Raiders,Bills,,,,
1966,13,1966-11-27,Jets,Chiefs,24.0,32.0,0.0,1.0,Jets,Chiefs,,,,
1966,13,1966-11-27,Broncos,Chargers,20.0,17.0,1.0,0.0,Broncos,Chargers,,,,
1966,13,1966-11-27,Dolphins,Patriots,14.0,20.0,0.0,1.0,Dolphins,Patriots,,,,
1966,13,1966-12-04,Rams,Lions,23.0,3.0,1.0,0.0,Rams,Lions,,,,
1966,13,1966-12-04,Packers,49ers,20.0,7.0,1.0,0.0,Packers,49ers,,,,
1966,13,1966-12-04,Cowboys,Cardinals,31.0,17.0,1.0,0.0,Cowboys,Cardinals,,,,
1966,13,1966-12-04,Vikings,Falcons,13.0,20.0,0.0,1.0,Vikings,Falcons,,,,
1966,13,1966-12-04,Colts,Bears,21.0,16.0,1.0,0.0,Colts,Bears,,,,
1966,13,1966-12-04,Eagles,Steelers,27.0,23.0,1.0,0.0,Eagles,Steelers,,,,
1966,13,1966-12-04,Browns,Giants,49.0,40.0,1.0,0.0,Browns,Giants,,,,
1966,14,1966-12-03,Raiders,Jets,28.0,28.0,0.0,0.0,Raiders,Jets,,,,
1966,14,1966-12-04,Oilers,Chargers,22.0,28.0,0.0,1.0,Oilers,Chargers,,,,
1966,14,1966-12-04,Broncos,Dolphins,17.0,7.0,1.0,0.0,Broncos,Dolphins,,,,
1966,14,1966-12-04,Patriots,Bills,14.0,3.0,1.0,0.0,Patriots,Bills,,,,
1966,14,1966-12-10,Colts,Packers,10.0,14.0,0.0,1.0,Colts,Packers,,,,
1966,14,1966-12-11,Lions,Vikings,16.0,28.0,0.0,1.0,Lions,Vikings,,,,
1966,14,1966-12-11,Giants,Steelers,28.0,47.0,0.0,1.0,Giants,Steelers,,,,
1966,14,1966-12-11,Eagles,Browns,33.0,21.0,1.0,0.0,Eagles,Browns,,,,
1966,14,1966-12-11,Falcons,Cardinals,16.0,10.0,1.0,0.0,Falcons,Cardinals,,,,
1966,14,1966-12-11,49ers,Bears,41.0,14.0,1.0,0.0,49ers,Bears,,,,
1966,14,1966-12-11,Cowboys,Redskins,31.0,34.0,0.0,1.0,Cowboys,Redskins,,,,
1966,15,1966-12-11,Raiders,Broncos,28.0,10.0,1.0,0.0,Raiders,Broncos,,,,
1966,15,1966-12-11,Dolphins,Chiefs,18.0,19.0,0.0,1.0,Dolphins,Chiefs,,,,
1966,15,1966-12-11,Oilers,Patriots,14.0,38.0,0.0,1.0,Oilers,Patriots,,,,
1966,15,1966-12-11,Chargers,Jets,42.0,27.0,1.0,0.0,Chargers,Jets,,,,
1966,15,1966-12-17,Cardinals,Browns,10.0,38.0,0.0,1.0,Cardinals,Browns,,,,
1966,15,1966-12-18,Falcons,Steelers,33.0,57.0,0.0,1.0,Falcons,Steelers,,,,
1966,15,1966-12-18,Bears,Vikings,41.0,28.0,1.0,0.0,Bears,Vikings,,,,
1966,15,1966-12-18,Giants,Cowboys,7.0,17.0,0.0,1.0,Giants,Cowboys,,,,
1966,15,1966-12-18,Rams,Packers,23.0,27.0,0.0,1.0,Rams,Packers,,,,
1966,15,1966-12-18,Redskins,Eagles,28.0,37.0,0.0,1.0,Redskins,Eagles,,,,
1966,15,1966-12-18,49ers,Colts,14.0,30.0,0.0,1.0,49ers,Colts,,,,
1966,16,1966-12-17,Jets,Patriots,38.0,28.0,1.0,0.0,Jets,Patriots,,,,
1966,16,1966-12-18,Dolphins,Oilers,29.0,28.0,1.0,0.0,Dolphins,Oilers,,,,
1966,16,1966-12-18,Bills,Broncos,38.0,21.0,1.0,0.0,Bills,Broncos,,,,
1966,16,1966-12-18,Chargers,Chiefs,17.0,27.0,0.0,1.0,Chargers,Chiefs,,,,
1967,1,1967-09-03,Broncos,Patriots,26.0,21.0,1.0,0.0,Broncos,Patriots,,,,
1967,1,1967-09-09,Oilers,Chiefs,20.0,25.0,0.0,1.0,Oilers,Chiefs,,,,
1967,1,1967-09-09,Chargers,Patriots,28.0,14.0,1.0,0.0,Chargers,Patriots,,,,
1967,1,1967-09-10,Bills,Jets,20.0,17.0,1.0,0.0,Bills,Jets,,,,
1967,1,1967-09-10,Raiders,Broncos,51.0,0.0,1.0,0.0,Raiders,Broncos,,,,
1967,1,1967-09-17,Saints,Rams,13.0,27.0,0.0,1.0,Saints,Rams,,,,
1967,1,1967-09-17,Bills,Oilers,3.0,20.0,0.0,1.0,Bills,Oilers,,,,
1967,1,1967-09-17,Raiders,Patriots,35.0,7.0,1.0,0.0,Raiders,Patriots,,,,
1967,1,1967-09-17,Cardinals,Giants,20.0,37.0,0.0,1.0,Cardinals,Giants,,,,
1967,1,1967-09-17,Vikings,49ers,21.0,27.0,0.0,1.0,Vikings,49ers,,,,
1967,1,1967-09-17,Eagles,Redskins,35.0,24.0,1.0,0.0,Eagles,Redskins,,,,
1967,1,1967-09-17,Browns,Cowboys,14.0,21.0,0.0,1.0,Browns,Cowboys,,,,
1967,1,1967-09-17,Dolphins,Broncos,35.0,21.0,1.0,0.0,Dolphins,Broncos,,,,
1967,1,1967-09-17,Packers,Lions,17.0,17.0,0.0,0.0,Packers,Lions,,,,
1967,1,1967-09-17,Colts,Falcons,38.0,31.0,1.0,0.0,Colts,Falcons,,,,
1967,1,1967-09-17,Steelers,Bears,41.0,13.0,1.0,0.0,Steelers,Bears,,,,
1967,1,1967-09-22,Rams,Vikings,39.0,3.0,1.0,0.0,Rams,Vikings,,,,
1967,1,1967-09-24,Dolphins,Chiefs,0.0,24.0,0.0,1.0,Dolphins,Chiefs,,,,
1967,1,1967-09-24,Lions,Browns,31.0,14.0,1.0,0.0,Lions,Browns,,,,
1967,1,1967-09-24,Saints,Redskins,10.0,30.0,0.0,1.0,Saints,Redskins,,,,
1967,1,1967-09-24,Broncos,Jets,24.0,38.0,0.0,1.0,Broncos,Jets,,,,
1967,1,1967-09-24,Steelers,Cardinals,14.0,28.0,0.0,1.0,Steelers,Cardinals,,,,
1967,1,1967-09-24,Cowboys,Giants,38.0,24.0,1.0,0.0,Cowboys,Giants,,,,
1967,1,1967-09-24,Chargers,Oilers,13.0,3.0,1.0,0.0,Chargers,Oilers,,,,
1967,1,1967-09-24,Bills,Patriots,0.0,23.0,0.0,1.0,Bills,Patriots,,,,
1967,1,1967-09-24,Packers,Bears,13.0,10.0,1.0,0.0,Packers,Bears,,,,
1967,1,1967-09-24,49ers,Falcons,38.0,7.0,1.0,0.0,49ers,Falcons,,,,
1967,1,1967-09-24,Eagles,Colts,6.0,38.0,0.0,1.0,Eagles,Colts,,,,
1967,2,1967-10-01,Bills,Chargers,17.0,37.0,0.0,1.0,Bills,Chargers,,,,
1967,2,1967-10-01,Redskins,Giants,38.0,34.0,1.0,0.0,Redskins,Giants,,,,
1967,2,1967-10-01,Cowboys,Rams,13.0,35.0,0.0,1.0,Cowboys,Rams,,,,
1967,2,1967-10-01,Cardinals,Lions,38.0,28.0,1.0,0.0,Cardinals,Lions,,,,
1967,2,1967-10-01,Vikings,Bears,7.0,17.0,0.0,1.0,Vikings,Bears,,,,
1967,2,1967-10-01,Packers,Falcons,23.0,0.0,1.0,0.0,Packers,Falcons,,,,
1967,2,1967-10-01,Colts,49ers,41.0,7.0,1.0,0.0,Colts,49ers,,,,
1967,2,1967-10-01,Raiders,Chiefs,23.0,21.0,1.0,0.0,Raiders,Chiefs,,,,
1967,2,1967-10-01,Saints,Browns,7.0,42.0,0.0,1.0,Saints,Browns,,,,
1967,2,1967-10-01,Oilers,Broncos,10.0,6.0,1.0,0.0,Oilers,Broncos,,,,
1967,2,1967-10-01,Eagles,Steelers,34.0,24.0,1.0,0.0,Eagles,Steelers,,,,
1967,2,1967-10-01,Jets,Dolphins,29.0,7.0,1.0,0.0,Jets,Dolphins,,,,
1967,3,1967-10-07,Jets,Raiders,27.0,14.0,1.0,0.0,Jets,Raiders,,,,
1967,3,1967-10-07,Browns,Steelers,21.0,10.0,1.0,0.0,Browns,Steelers,,,,
1967,3,1967-10-08,Vikings,Cardinals,24.0,34.0,0.0,1.0,Vikings,Cardinals,,,,
1967,3,1967-10-08,Lions,Packers,17.0,27.0,0.0,1.0,Lions,Packers,,,,
1967,3,1967-10-08,Broncos,Bills,16.0,17.0,0.0,1.0,Broncos,Bills,,,,
1967,3,1967-10-08,Bears,Colts,3.0,24.0,0.0,1.0,Bears,Colts,,,,
1967,3,1967-10-08,Rams,49ers,24.0,27.0,0.0,1.0,Rams,49ers,,,,
1967,3,1967-10-08,Chargers,Patriots,31.0,31.0,0.0,0.0,Chargers,Patriots,,,,
1967,3,1967-10-08,Redskins,Cowboys,14.0,17.0,0.0,1.0,Redskins,Cowboys,,,,
1967,3,1967-10-08,Falcons,Eagles,7.0,38.0,0.0,1.0,Falcons,Eagles,,,,
1967,3,1967-10-08,Chiefs,Dolphins,41.0,0.0,1.0,0.0,Chiefs,Dolphins,,,,
1967,3,1967-10-08,Giants,Saints,27.0,21.0,1.0,0.0,Giants,Saints,,,,
1967,4,1967-10-15,Packers,Vikings,7.0,10.0,0.0,1.0,Packers,Vikings,,,,
1967,4,1967-10-15,Eagles,49ers,27.0,28.0,0.0,1.0,Eagles,49ers,,,,
1967,4,1967-10-15,Browns,Cardinals,20.0,16.0,1.0,0.0,Browns,Cardinals,,,,
1967,4,1967-10-15,Falcons,Redskins,20.0,20.0,0.0,0.0,Falcons,Redskins,,,,
1967,4,1967-10-15,Steelers,Giants,24.0,27.0,0.0,1.0,Steelers,Giants,,,,
1967,4,1967-10-15,Cowboys,Saints,14.0,10.0,1.0,0.0,Cowboys,Saints,,,,
1967,4,1967-10-15,Patriots,Dolphins,41.0,10.0,1.0,0.0,Patriots,Dolphins,,,,
1967,4,1967-10-15,Bears,Lions,14.0,3.0,1.0,0.0,Bears,Lions,,,,
1967,4,1967-10-15,Colts,Rams,24.0,24.0,0.0,0.0,Colts,Rams,,,,
1967,4,1967-10-15,Jets,Oilers,28.0,28.0,0.0,0.0,Jets,Oilers,,,,
1967,4,1967-10-15,Bills,Raiders,20.0,24.0,0.0,1.0,Bills,Raiders,,,,
1967,4,1967-10-15,Chargers,Chiefs,45.0,31.0,1.0,0.0,Chargers,Chiefs,,,,
1967,5,1967-10-22,Giants,Packers,21.0,48.0,0.0,1.0,Giants,Packers,,,,
1967,5,1967-10-22,Lions,Falcons,24.0,3.0,1.0,0.0,Lions,Falcons,,,,
1967,5,1967-10-22,Rams,Redskins,28.0,28.0,0.0,0.0,Rams,Redskins,,,,
1967,5,1967-10-22,Cardinals,Eagles,48.0,14.0,1.0,0.0,Cardinals,Eagles,,,,
1967,5,1967-10-22,Chiefs,Oilers,19.0,24.0,0.0,1.0,Chiefs,Oilers,,,,
1967,5,1967-10-22,49ers,Saints,27.0,13.0,1.0,0.0,49ers,Saints,,,,
1967,5,1967-10-22,Vikings,Colts,20.0,20.0,0.0,0.0,Vikings,Colts,,,,
1967,5,1967-10-22,Browns,Bears,24.0,0.0,1.0,0.0,Browns,Bears,,,,
1967,5,1967-10-22,Steelers,Cowboys,21.0,24.0,0.0,1.0,Steelers,Cowboys,,,,
1967,5,1967-10-22,Patriots,Raiders,14.0,48.0,0.0,1.0,Patriots,Raiders,,,,
1967,5,1967-10-22,Dolphins,Jets,14.0,33.0,0.0,1.0,Dolphins,Jets,,,,
1967,5,1967-10-22,Broncos,Chargers,21.0,38.0,0.0,1.0,Broncos,Chargers,,,,
1967,6,1967-10-29,Oilers,Bills,10.0,3.0,1.0,0.0,Oilers,Bills,,,,
1967,6,1967-10-29,Giants,Browns,38.0,34.0,1.0,0.0,Giants,Browns,,,,
1967,6,1967-10-29,Raiders,Chargers,51.0,10.0,1.0,0.0,Raiders,Chargers,,,,
1967,6,1967-10-29,Eagles,Cowboys,21.0,14.0,1.0,0.0,Eagles,Cowboys,,,,
1967,6,1967-10-29,Bears,Rams,17.0,28.0,0.0,1.0,Bears,Rams,,,,
1967,6,1967-10-29,49ers,Lions,3.0,45.0,0.0,1.0,49ers,Lions,,,,
1967,6,1967-10-29,Falcons,Vikings,21.0,20.0,1.0,0.0,Falcons,Vikings,,,,
1967,6,1967-10-29,Saints,Steelers,10.0,14.0,0.0,1.0,Saints,Steelers,,,,
1967,6,1967-10-29,Chiefs,Broncos,52.0,9.0,1.0,0.0,Chiefs,Broncos,,,,
1967,6,1967-10-29,Jets,Patriots,30.0,23.0,1.0,0.0,Jets,Patriots,,,,
1967,6,1967-10-29,Redskins,Colts,13.0,17.0,0.0,1.0,Redskins,Colts,,,,
1967,6,1967-10-30,Cardinals,Packers,23.0,31.0,0.0,1.0,Cardinals,Packers,,,,
1967,7,1967-11-05,Cowboys,Falcons,37.0,7.0,1.0,0.0,Cowboys,Falcons,,,,
1967,7,1967-11-05,Bills,Dolphins,35.0,13.0,1.0,0.0,Bills,Dolphins,,,,
1967,7,1967-11-05,Saints,Eagles,31.0,24.0,1.0,0.0,Saints,Eagles,,,,
1967,7,1967-11-05,Redskins,Cardinals,21.0,27.0,0.0,1.0,Redskins,Cardinals,,,,
1967,7,1967-11-05,Colts,Packers,13.0,10.0,1.0,0.0,Colts,Packers,,,,
1967,7,1967-11-05,Lions,Bears,13.0,27.0,0.0,1.0,Lions,Bears,,,,
1967,7,1967-11-05,Steelers,Browns,14.0,34.0,0.0,1.0,Steelers,Browns,,,,
1967,7,1967-11-05,Vikings,Giants,27.0,24.0,1.0,0.0,Vikings,Giants,,,,
1967,7,1967-11-05,Broncos,Raiders,17.0,21.0,0.0,1.0,Broncos,Raiders,,,,
1967,7,1967-11-05,Patriots,Oilers,18.0,7.0,1.0,0.0,Patriots,Oilers,,,,
1967,7,1967-11-05,49ers,Rams,7.0,17.0,0.0,1.0,49ers,Rams,,,,
1967,7,1967-11-05,Chiefs,Jets,42.0,18.0,1.0,0.0,Chiefs,Jets,,,,
1967,8,1967-11-12,Chargers,Dolphins,24.0,0.0,1.0,0.0,Chargers,Dolphins,,,,
1967,8,1967-11-12,Cardinals,Steelers,14.0,14.0,0.0,0.0,Cardinals,Steelers,,,,
1967,8,1967-11-12,Broncos,Oilers,18.0,20.0,0.0,1.0,Broncos,Oilers,,,,
1967,8,1967-11-12,Saints,Cowboys,10.0,27.0,0.0,1.0,Saints,Cowboys,,,,
1967,8,1967-11-12,Redskins,49ers,31.0,28.0,1.0,0.0,Redskins,49ers,,,,
